,X,Y,Z,R,Phi,ar,Vcirc
141,-21.115578,-0.5527638,0.0,21.122812,3.167765,-6.499781643896297e-14,205.83689120369797
142,-21.115578,-0.3316583,0.0,21.118183,3.1572983,-6.504610543373338e-14,205.89077393716175
143,-21.115578,-0.110552765,0.0,21.115868,3.1468284,-6.515032103476789e-14,206.04434813242366
144,-21.115578,0.110552765,0.0,21.115868,3.136357,-6.534686228288834e-14,206.3549046815203
145,-21.115578,0.3316583,0.0,21.118183,3.1258872,-6.550092666548827e-14,206.6093440112778
146,-21.115578,0.5527638,0.0,21.122812,3.1154206,-6.571396045734879e-14,206.9677372182765
147,-21.115578,0.77386934,0.0,21.129753,3.1049597,-6.582973694332978e-14,207.18400881679946
148,-21.115578,0.99497485,0.0,21.139008,3.094507,-6.57383477325285e-14,207.08548055693154
149,-21.115578,1.2160804,0.0,21.150566,3.0840645,-6.556173624920198e-14,206.86364935958312
150,-21.115578,1.4371859,0.0,21.16443,3.0736346,-6.556568324113979e-14,206.93766820296597
151,-21.115578,1.6582915,0.0,21.180593,3.0632195,-6.532724850167876e-14,206.63991129587316
152,-21.115578,1.879397,0.0,21.19905,3.0528214,-6.583940923091675e-14,207.53871928238036
153,-21.115578,2.1005025,0.0,21.219795,3.0424423,-6.560124501298181e-14,207.26434392401595
154,-21.115578,2.321608,0.0,21.242823,3.032085,-6.515348190477959e-14,206.66783385115747
155,-21.115578,2.5427136,0.0,21.268122,3.021751,-6.503047696186854e-14,206.59556730568164
156,-21.115578,2.763819,0.0,21.295689,3.0114424,-6.49431487275065e-14,206.59056130539798
157,-21.115578,2.9849246,0.0,21.32551,3.0011618,-6.492772371524713e-14,206.71060726899879
158,-21.115578,3.2060301,0.0,21.35758,2.990911,-6.507814250025674e-14,207.10546448191968
159,-21.115578,3.4271357,0.0,21.391888,2.980692,-6.497199145405049e-14,207.10262558180895
160,-21.115578,3.6482413,0.0,21.428423,2.970507,-6.490606568943592e-14,207.17421790320753
161,-21.115578,3.8693466,0.0,21.467173,2.9603572,-6.46838746039504e-14,207.00622158898526
162,-21.115578,4.090452,0.0,21.508125,2.9502454,-6.479561987202138e-14,207.3824802890843
163,-21.115578,4.311558,0.0,21.551268,2.940173,-6.481271679287563e-14,207.6177518599797
164,-21.115578,4.5326633,0.0,21.59659,2.9301417,-6.445905774985555e-14,207.26813013148237
165,-21.115578,4.753769,0.0,21.644073,2.9201536,-6.428387548441898e-14,207.21370993396354
166,-21.115578,4.9748745,0.0,21.693708,2.9102101,-6.411864058064891e-14,207.1843814840358
167,-21.115578,5.19598,0.0,21.745478,2.9003131,-6.724190771570388e-14,212.4234461193103
168,-21.115578,5.4170856,0.0,21.799368,2.890464,-6.413505408513306e-14,207.7148967158193
169,-21.115578,5.6381907,0.0,21.855362,2.8806643,-6.373110437315754e-14,207.3254823890342
170,-21.115578,5.8592963,0.0,21.913443,2.870916,-6.367872530952564e-14,207.51545498918486
171,-21.115578,6.080402,0.0,21.973597,2.8612196,-6.585703392416488e-14,211.32438694509204
172,-20.894472,-6.7437186,0.0,21.95579,3.4537895,-6.05102876818854e-14,202.48231594545553
173,-20.894472,-6.522613,0.0,21.88889,3.4441764,-6.089437661604389e-14,202.81422760077493
174,-20.894472,-6.3015075,0.0,21.824022,3.4345052,-6.117110443188216e-14,202.97311648268067
175,-20.894472,-6.080402,0.0,21.76121,3.4247773,-6.144262447960525e-14,203.13013388278281
176,-20.894472,-5.8592963,0.0,21.700468,3.414994,-6.18972106383359e-14,203.59544184664952
177,-20.894472,-5.6381907,0.0,21.641815,3.4051566,-6.209834267626465e-14,203.65018438884073
178,-20.894472,-5.4170856,0.0,21.585268,3.395267,-6.250582236293387e-14,204.05015093150638
179,-20.894472,-5.19598,0.0,21.530842,3.3853261,-6.2518968154721e-14,203.81416636006117
180,-20.894472,-4.9748745,0.0,21.478556,3.375336,-6.27524944727533e-14,203.94637709582491
181,-20.894472,-4.753769,0.0,21.428423,3.365298,-6.32061229687862e-14,204.44318652847807
182,-20.894472,-4.5326633,0.0,21.380459,3.355214,-6.323826435919137e-14,204.26616828149648
183,-20.894472,-4.311558,0.0,21.334679,3.3450859,-6.336819434200272e-14,204.25687342520263
184,-20.894472,-4.090452,0.0,21.291096,3.3349152,-6.380009219498994e-14,204.74232012702683
185,-20.894472,-3.8693466,0.0,21.249725,3.3247037,-6.402749393473696e-14,204.90750874742818
186,-20.894472,-3.6482413,0.0,21.210579,3.3144534,-6.410282528480613e-14,204.83907573443798
187,-20.894472,-3.4271357,0.0,21.173668,3.3041663,-6.423784270674253e-14,204.87618724780327
188,-20.894472,-3.2060301,0.0,21.139008,3.2938445,-6.43601389496686e-14,204.90320170773026
189,-20.894472,-2.9849246,0.0,21.106604,3.28349,-6.451172977877069e-14,204.98707642498908
190,-20.894472,-2.763819,0.0,21.076471,3.2731044,-6.473810527636447e-14,205.1997862985963
191,-20.894472,-2.5427136,0.0,21.048618,3.2626905,-6.504620982527308e-14,205.55154962239226
192,-20.894472,-2.321608,0.0,21.023054,3.25225,-6.507957617359698e-14,205.47936882987403
193,-20.894472,-2.1005025,0.0,20.999788,3.2417853,-6.53023862014546e-14,205.71688736110428
194,-20.894472,-1.879397,0.0,20.978825,3.2312984,-6.558118064933293e-14,206.05262541957788
195,-20.894472,-1.6582915,0.0,20.960175,3.2207918,-6.546237876097244e-14,205.77437902056752
196,-20.894472,-1.4371859,0.0,20.943842,3.2102678,-6.550079990029333e-14,205.75454554879545
