,X,Y,Z,R,Phi,ar,Vcirc
117,-20.222221,7.3333335,0.0,21.510836,2.7937043,-6.654817568041905e-14,210.18159291238635
118,-20.222221,7.7777777,0.0,21.666382,2.7744188,-6.575665488836613e-14,209.6819337806559
119,-20.222221,8.222222,0.0,21.82987,2.7554152,-6.564052673225242e-14,210.28561575818796
120,-19.777779,-9.555555,0.0,21.96518,3.5916667,-6.205232486997759e-14,205.08994443160014
121,-19.777779,-9.111111,0.0,21.77551,3.5732877,-6.268730431275758e-14,205.2446917249489
122,-19.777779,-8.666667,0.0,21.593323,3.5545926,-6.354793415608754e-14,205.7824897373611
123,-19.777779,-8.222222,0.0,21.41881,3.5355859,-6.438017725881553e-14,206.28693015257346
124,-19.777779,-7.7777777,0.0,21.252161,3.516274,-6.498616628961062e-14,206.44766183724346
125,-19.777779,-7.3333335,0.0,21.09356,3.4966643,-6.58022993483738e-14,206.96334234726373
126,-19.777779,-6.888889,0.0,20.943192,3.4767654,-6.603156641673889e-14,206.58329160382365
127,-19.777779,-6.4444447,0.0,20.801235,3.4565868,-6.718912019774893e-14,207.67872090449157
128,-19.777779,-6.0,0.0,20.667862,3.436139,-6.802590505546111e-14,208.29694532028566
129,-19.777779,-5.5555553,0.0,20.54324,3.4154348,-7.015168663373464e-14,210.88781399518845
130,-19.777779,-5.111111,0.0,20.427528,3.394487,-6.907942696172976e-14,208.67971517613077
131,-19.777779,-4.6666665,0.0,20.320883,3.3733096,-6.971916126895223e-14,209.09580666344527
132,-19.777779,-4.2222223,0.0,20.223444,3.3519187,-7.075121204227635e-14,210.13212923659665
133,-19.777779,-3.7777777,0.0,20.135345,3.3303306,-7.097522899598725e-14,210.00561396097368
134,-19.777779,-3.3333333,0.0,20.05671,3.308563,-7.110236031717424e-14,209.78276711698837
135,-19.777779,-2.8888888,0.0,19.98765,3.2866344,-7.147530829881223e-14,209.96980582766267
136,-19.777779,-2.4444444,0.0,19.928267,3.2645648,-7.22312558052937e-14,210.76345297756225
137,-19.777779,-2.0,0.0,19.878645,3.242374,-7.245061956305391e-14,210.82028742188746
138,-19.777779,-1.5555556,0.0,19.838858,3.220083,-7.273279508662895e-14,211.0189366778894
139,-19.777779,-1.1111112,0.0,19.808964,3.1977136,-7.341239515619826e-14,211.8427163713607
140,-19.777779,-0.6666667,0.0,19.789011,3.175288,-7.361227811347796e-14,212.02405438822902
141,-19.777779,-0.22222222,0.0,19.779026,3.1528282,-7.372960481574791e-14,212.13941404888467
142,-19.777779,0.22222222,0.0,19.779026,3.1303573,-7.399904501970462e-14,212.5266856302491
143,-19.777779,0.6666667,0.0,19.789011,3.1078975,-7.368580833710744e-14,212.1299218146771
144,-19.777779,1.1111112,0.0,19.808964,3.0854719,-7.382851489074598e-14,212.4422566173677
145,-19.777779,1.5555556,0.0,19.838858,3.0631025,-7.39374784450637e-14,212.75932762716488
146,-19.777779,2.0,0.0,19.878645,3.0408115,-7.361845093162382e-14,212.51260094624928
147,-19.777779,2.4444444,0.0,19.928267,3.0186207,-7.343599299840394e-14,212.51383481052625
148,-19.777779,2.8888888,0.0,19.98765,2.996551,-7.30324342419872e-14,212.24463252124409
149,-19.777779,3.3333333,0.0,20.05671,2.9746225,-7.318194575487652e-14,212.8284964170713
150,-19.777779,3.7777777,0.0,20.135345,2.9528549,-7.254575275168657e-14,212.31637915926865
151,-19.777779,4.2222223,0.0,20.223444,2.9312668,-7.20826512575945e-14,212.10011064474597
152,-19.777779,4.6666665,0.0,20.320883,2.9098759,-7.193360852879263e-14,212.39054039916545
153,-19.777779,5.111111,0.0,20.427528,2.8886986,-7.20195650320922e-14,213.07432395914793
154,-19.777779,5.5555553,0.0,20.54324,2.8677506,-7.052512935912954e-14,211.44838489627935
155,-19.777779,6.0,0.0,20.667862,2.8470464,-7.030075183248032e-14,211.75112266942702
156,-19.777779,6.4444447,0.0,20.801235,2.8265986,-6.992150430042461e-14,211.85948134812838
157,-19.777779,6.888889,0.0,20.943192,2.80642,-6.897082959123704e-14,211.1310550646908
158,-19.777779,7.3333335,0.0,21.09356,2.7865212,-6.843973462544147e-14,211.07026386251965
159,-19.777779,7.7777777,0.0,21.252161,2.7669115,-6.774200274465568e-14,210.77957565682792
160,-19.777779,8.222222,0.0,21.41881,2.7475996,-6.749851852607015e-14,211.2237503493761
161,-19.777779,8.666667,0.0,21.593323,2.7285929,-6.496698237248627e-14,208.0674029193164
162,-19.777779,9.111111,0.0,21.77551,2.7098978,-6.595738665849242e-14,210.52993496579808
163,-19.777779,9.555555,0.0,21.96518,2.6915188,-6.514346658121578e-14,210.13615018116928
164,-19.333334,-10.444445,0.0,21.97417,3.636904,-6.145174827117358e-14,204.1368124527442
165,-19.333334,-10.0,0.0,21.766438,3.6189382,-6.273497353863449e-14,205.27993324769267
166,-19.333334,-9.555555,0.0,21.565863,3.6006322,-6.334040651905402e-14,205.31553049576016
167,-19.333334,-9.111111,0.0,21.372648,3.5819888,-6.400655172845745e-14,205.46570622795045
168,-19.333334,-8.666667,0.0,21.186998,3.5630121,-6.52564776715509e-14,206.55917558502577
